Company,Valuation ($B) ,Country,Category,Select Investors
Meicai,$2.80 ,China,Mobile & telecommunications,"Tiger Global Management, Blue Lake Capital, ZhenFund"
GoodRx,$2.80 ,United States,Health,"Silver Lake Partners, SV Angel, Upfront Ventures"
OakNorth,$2.80 ,United Kingdom,Fintech,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management"
GitLab,$2.77 ,United States,Internet software & services,"Google Ventures, ICONIQ Capital, Khosla Ventures"
Convoy,$2.75 ,United States,"Supply chain, logistics, & delivery","Greylock Partners, capitalG, Y Combinator"
Nuro,$2.70 ,United States,Auto & transportation,"SoftBank Group, Greylock Partners, Gaorong Capital"
OneTrust,$2.70 ,United States,Internet software & services,Insight Partners
Wemakeprice,$2.33 ,South Korea,E-commerce & direct-to-consumer,"IMM Investment, NXC"
Brex,$3.00 ,United States,Fintech,"DST Global, Ribbit Capital, Greenoaks Capital Management"
23andMe,$2.50 ,United States,Health,"Google Ventures, New Enterprise Associates, MPM Capital"
Vista Global,$2.50 ,Malta,Other,Rhone Capital
Zhihu,$2.50 ,China,Internet software & services,"Tencent Holdings, Sinovation Ventures, Qiming Venture Partners"
Aihuishou,$2.50 ,China,E-commerce & direct-to-consumer,"Morningside Ventures, JD.com, Tiantu Capital"
Aurora,$2.50 ,United States,Auto & transportation,"Index Ventures, Greylock Partners, Lightspeed Venture Partners"
Bird Rides,$2.78 ,United States,Auto & transportation,"Tusk Ventures, Craft Ventures, Sequoia Capital"
BYTON,$2.50 ,China,Auto & transportation,"FAW Group, Tencent Holdings, Tus Holdings"
Bukalapak,$2.50 ,Indonesia,E-commerce & direct-to-consumer,"500 Startups, Batavia Incubator, Emtek Group"
Celonis,$2.50 ,Germany,Data management & analytics,"Accel, 83North"
Cambricon,$2.50 ,China,Artificial intelligence,"Yonghua Capital, China State Capital Venture Capital Fund, GoldStone Investment"
Cohesity,$2.50 ,United States,Data management & analytics,"SoftBank Group, Sequoia Capital, Wing Venture Capital"
Carbon,$2.40 ,United States,Hardware,"Google Ventures, Sequoia Capital, Wakefield Group"
YITU Technology,$2.37 ,China,Artificial intelligence,"Sequoia Capital China, Banyan Capital"
Collibra,$2.36 ,United States,Data management & analytics,"Index Ventures, Battery Ventures, ICONIQ Capital"
Dadi Cinema,$3.20 ,China,Other,Alibaba Pictures Group
Uptake,$2.30 ,United States,Artificial intelligence,"Revolution, New Enterprise Associates, Caterpillar"
Udaan,$2.30 ,India,"Supply chain, logistics, & delivery","DST Global, Lightspeed Venture Partners, Microsoft ScaleUp"
Skydance Media,$2.30 ,United States,Other,"RedBird Capital Partners, CJ ENM, Tencent Holdings"
Zume Pizza,$2.25 ,United States,Consumer & retail,"Softbank Group, AME Cloud Ventures, SignalFire"
FlixBus,$2.25 ,Germany,Auto & transportation,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic"
Via Transportation,$2.25 ,United States,Auto & transportation,"83North, RiverPark Ventures, Pitango Venture Capital"
NuCom Group,$2.20 ,Germany,Other,General Atlantic
MINISO Life,$2.20 ,China,Consumer & retail,"Hillhouse Capital Management, and Tencent Holdings"
Viva Republica (Toss),$2.20 ,South Korea,Fintech,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
Checkr,$2.20 ,United States,Internet software & services,"Y Combinator, Accel, T. Rowe Price"
Huaqin Telecom Technology,$2.19 ,China,Mobile & telecommunications,"Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital"
Zomato,$3.25 ,India,Internet software & services,"Sequoia Capital, VY Capital"
BenevolentAI,$2.10 ,United Kingdom,Artificial intelligence,Woodford Investment Management
Nextdoor,$2.10 ,United States,Internet software & services,"Benchmark Capital, DAG Ventures, Insight Venture Partners"
Perfect Diary,$2.00 ,China,Other,"Sequoia Capital China, Hillhouse Capital Management, CMC Capital Partners"
ReNew Power,$2.00 ,India,Other,"Goldman Sachs, JERA, Asian Development Bank"
Traveloka,$2.00 ,Indonesia,Travel,"Global Founders Capital, East Ventures, Expedia Inc."
Huimin,$2.00 ,China,E-commerce & direct-to-consumer,"Zheshang Venture Capital, GP Capital, Western Capital Management"
Zenefits,$2.00 ,United States,Fintech,"SV Angel, Institutional Venture Partners, Venrock"
Avant,$2.00 ,United States,Artificial intelligence,"RRE Ventures, Tiger Global, August Capital"
Trendy Group International,$2.00 ,China,Consumer & retail,L Capital Partners
Deliveroo,$2.00 ,United Kingdom,"Supply chain, logistics, & delivery","Accel Partners, General Catalyst, Index Ventures"
Preferred Networks,$2.00 ,Japan,Artificial intelligence,"Toyota Motor Corporation, Mizuho Financial Group, FANUC"
Improbable,$2.00 ,United Kingdom,Other,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
